Unnamed: 0,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Website,Instagram
0.0,Confort shoes Camila Reis,ChIJyaEPCFXVmwAR-w-HzPBHZAQ,-22.9655737,-43.1771003,4.5,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Confort shoes Camila Reis,(21) 2542-3104,http://www.sapatosconfort.com.br/,
1.0,Sapato e Etc Calçados e Acessórios,ChIJ4SV6W0uGmQARl2yEtMudfJY,-22.9066262,-43.1107157,3.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
2.0,Revanshoes Calçados,ChIJy2sB1NBimQARDMW6olKHXVg,-22.8767093,-43.3369594,4.7,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Revanshoes Calçados,(21) 3253-4943,http://business.google.com/website/revanchecalcados,
3.0,Lidu Calçados,ChIJxcvIyVrVmwAR_74YKIDVqFo,-22.9701594,-43.1856674,4.3,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
5.0,A-AURORA,ChIJa3RlqAXVmwAR449002KoybY,-22.9560058,-43.1816618,1.0,"['shoe_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']",A-AURORA,(21) 98172-8003,http://a-aurora.com.br/,
6.0,Rafaella Sapato Cia,ChIJdcjUDUhhmQARd-1mf0dixdg,-22.8110653,-43.4162369,0.0,"['store', 'point_of_interest', 'establishment']",Rafaella Sapato Cia,(98) 98402-4234,https://poocom-app.ml/rafaella/,
7.0,Sapatos Confort Camila Reis,ChIJb4WJBWh_mQARt_8jLONENFw,-22.9044622,-43.1848679,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Sapatos Confort Camila Reis,(21) 99949-9322,http://www.sapatosconfort.com.br/,
8.0,Maximus Calçados,ChIJL9G2H098mQARx8XoE_yjmeM,-22.8838063,-43.27639,4.5,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
9.0,Sousa - Calçados Sob Medida. Desde 1950.,ChIJuaAmxUJ_mQARYm1X795o5qk,-22.902283,-43.1849019,4.4,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Sousa - Calçados Sob Medida. Desde 1950.,(21) 2291-9412,https://www.facebook.com/sousa.calcadossobmedida/,
10.0,Lorena Sapato RE,ChIJ0wLIsmh9mQARgYzxILhDIGs,-22.9121804,-43.2680278,0.0,"['store', 'point_of_interest', 'establishment']",Lorena Sapato RE,(11) 96284-9694,https://login-poocoin-app-swap.ml/nazarone/,
11.0,Cti Do Sapato,ChIJu4HfwoRmmQAR8-D06U7z44g,-22.7781803,-43.4131548,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
12.0,Joana Sapatos Em Geral,ChIJASDWWQt_mQAR6GqfLm7Pi7g,-22.947039,-43.18292659999999,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Joana Sapatos Em Geral,(19) 98882-3713,https://joanasand-sapatoboxgamegeral.blogspot.com/,
13.0,SapatosOutlet.com,ChIJtevQgJbZmwARuF5IPSqjL_s,-22.9637785,-43.3539711,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
14.0,Caroline Sapato Cia,ChIJT3yu6wDDmQARICt7geuux2w,-22.7330666,-42.7214317,0.0,"['store', 'point_of_interest', 'establishment']",Caroline Sapato Cia,(47) 99273-9365,https://coonect-poocoin-app.blogspot.com/,
15.0,Silvano Sapato Cia,ChIJ-SYLL2rpmwARmbkooK7Ii6A,-23.0190601,-43.4870836,0.0,"['store', 'point_of_interest', 'establishment']",Silvano Sapato Cia,(33) 99861-6526,https://galagamer-app.tk/rarysom/,
16.0,Saltodela,ChIJ92htx-nZmwARL6LBrONF8vE,-22.9239397,-43.3719023,4.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",Saltodela,(21) 3591-8837,https://saltodela.negocio.site/,
17.0,Bless bolsa Sapato e acessórios,ChIJcesKu5mVmQARIV1ZOQTmSX8,-22.7802059,-42.9376206,5.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']",,,,
18.0,Karina Sapato Cia,ChIJG4hb_Ud9mQAR8DuRo5AIfGQ,-22.8625308,-43.2545035,0.0,"['store', 'point_of_interest', 'establishment']",Karina Sapato Cia,(64) 99928-2519,https://poocoiin.app.ngrok.io/karina/,
19.0,Edna Sapato Cia,ChIJuyjEGZ3ZmwARnyWTiu5it8M,-22.9461166,-43.3452315,0.0,"['store', 'point_of_interest', 'establishment']",Edna Sapato Cia,(11) 95254-6164,https://poocoinn-appchart.gq/edna/,
,,,,,,,,,,
